
変数情報			
変数	位置	ラベル	欠損値
DQ04_1F	54	w5問4(1)F_自分の生活の必要にあわせて仕事を調整しやすい	
DQ04_1G	55	w5問4(1)G_今後1年間に失業（倒産）をする可能性がある	
DQ04_1H	56	w5問4(1)H_仕事の内容が面白い	
DQ04_2	57	w5問4(2)_仕事仲間からのアドバイス	
DQ04_3A	58	w5問4(3)-1_ほぼ毎日残業	
DQ04_3B	59	w5問4(3)-2_社員数が恒常的に不足	
DQ04_3C	60	w5問4(3)-3_いつも締め切りに追われている	
DQ04_3D	61	w5問4(3)-4_互いに助け合う雰囲気	
DQ04_3E	62	w5問4(3)-5_一人ひとりが行う仕事が多い	
DQ04_3F	63	w5問4(3)-6_連携しながら行う仕事が多い	
DQ04_3G	64	w5問4(3)-7_先輩が後輩を指導する雰囲気	
DQ04_3H	65	w5問4(3)-8_社員の希望で異動できる仕組み	
DQ04_3I	66	w5問4(3)-9_若手社員の相談相手を決めている	
DQ04_3J	67	w5問4(3)-10_将来の仕事について相談できる機会	
DQ04_3K	68	w5問4(3)-11_正社員でない人が多い	
DQ04_3L	69	w5問4(3)-12_女性が多い	
DQ04_3M	70	w5問4(3)-13_男女の別なく活躍できる	
DQ04_3N	71	w5問4(3)-14_いずれもあてはまらない	
DQ05	72	w5問5_この１年の勤め先の変化	
DQ05_2A	73	w5問5付問2-1_勤め先変化の理由―会社の倒産・廃業・人員整理	
DQ05_2B	74	w5問5付問2-2_勤め先変化の理由―契約期間の終了	
DQ05_2C	75	w5問5付問2-3_勤め先変化の理由―家庭の事情（結婚、育児、介護など）	
DQ05_2D	76	w5問5付問2-4_勤め先変化の理由―健康上の理由	
DQ05_2E	77	w5問5付問2-5_勤め先変化の理由―労働時間（残業・休日出勤など）に不満	
DQ05_2F	78	w5問5付問2-6_勤め先変化の理由―給与・賃金に不満	
DQ05_2G	79	w5問5付問2-7_勤め先変化の理由―仕事がきつい・ストレスが大きいため	
DQ05_2H	80	w5問5付問2-8_勤め先変化の理由―職場の人間関係に対する不満	
DQ05_2I	81	w5問5付問2-9_勤め先変化の理由―昇進やキャリアに将来性がないから	
DQ05_2J	82	w5問5付問2-10_勤め先変化の理由―家業を継ぐため	
DQ05_2K	83	w5問5付問2-11_勤め先変化の理由―よい仕事がみつかったから	
DQ05_2L	84	w5問5付問2-12_勤め先変化の理由―その他	
DQ05_2M	85	w5問5付問2-13_勤め先変化の理由―勤め先をやめたり変えたりしていない	
DQ06_1	86	w5問6(1)_専門学校以上への通学（現在）	
DQ06_1A	87	w5問6(1)付問_現在通学している学校＿設置者	
DQ06_1C	88	w5問6(1)付問_現在通学している学校＿学部学科	
DQ06_1D	89	w5問6(1)付問_現在通学している学校＿課程	
DQ06_1E	90	w5問6(1)付問_現在通学している学校＿入学年	
DQ06_1F	91	w5問6(1)付問_現在通学している学校＿卒業等年	
DQ06_1G	92	w5問6(1)付問_現在通学している学校＿卒業中退	
DQ06_2	93	w5問6(2)_専門学校以上への通学（この1年間）	
DQ06_2A	94	w5問6(2)付問_この1年間に通った学校＿設置者	
DQ06_2C	95	w5問6(2)付問_この1年間に通った学校＿学部学科	
DQ06_2D	96	w5問6(2)付問_この1年間に通った学校＿課程	
DQ06_2E	97	w5問6(2)付問_この1年間に通った学校＿入学年	
DQ06_2F	98	w5問6(2)付問_この1年間に通った学校＿卒業等年	
DQ06_2G	99	w5問6(2)付問_この1年間に通った学校＿卒業中退	
DQ07A	100	w5問7A_ふだんの生活での頻度―運動	
DQ07B	101	w5問7B_ふだんの生活での頻度―1日に3食を食べる	
DQ07C	102	w5問7C_ふだんの生活での頻度―栄養バランスの取れた食事を取る	
DQ07D	103	w5問7D_ふだんの生活での頻度―カップ麺やファーストフードを食べる	
DQ07E	104	w5問7E_ふだんの生活での頻度―外食	
DQ07F	105	w5問7F_ふだんの生活での頻度―食事の用意	
DQ07G	106	w5問7G_ふだんの生活での頻度―洗濯	
DQ07H	107	w5問7H_ふだんの生活での頻度―家の掃除	
DQ07I	108	w5問7I_ふだんの生活での頻度―日用品・食料品の買い物	
DQ07J	109	w5問7J_ふだんの生活での頻度――友人・恋人（配偶者は除く）と食事をする	
DQ07K	110	w5問7K_ふだんの生活での頻度―友人・恋人（配偶者は除く）と話をする	
DQ07L	111	w5問7L_ふだんの生活での頻度―インターネットを利用する（仕事以外で）	
DQ08A_1	112	w5問8A-1_自分の仕事や勉強のことを相談する人―親	
DQ08A_2	113	w5問8A-2_自分の仕事や勉強のことを相談する人―配偶者または恋人	
DQ08A_3	114	w5問8A-3_自分の仕事や勉強のことを相談する人―子ども	
DQ08A_4	115	w5問8A-4_自分の仕事や勉強のことを相談する人―兄弟姉妹	
DQ08A_5	116	w5問8A-5_自分の仕事や勉強のことを相談する人―その他の親戚	
DQ08A_6	117	w5問8A-6_自分の仕事や勉強のことを相談する人―仕事関係の友人・知人	
DQ08A_7	118	w5問8A-7_自分の仕事や勉強のことを相談する人―学生時代の友人・知人	
DQ08A_8	119	w5問8A-8_自分の仕事や勉強のことを相談する人―その他の友人・知人	
DQ08A_9	120	w5問8A-9_自分の仕事や勉強のことを相談する人―誰もいない	
DQ08B_1	121	w5問8B-1_仕事を紹介してもらうことを相談する人―親	
DQ08B_2	122	w5問8B-2_仕事を紹介してもらうことを相談する人―配偶者または恋人	
DQ08B_3	123	w5問8B-3_仕事を紹介してもらうことを相談する人―子ども	
DQ08B_4	124	w5問8B-4_仕事を紹介してもらうことを相談する人―兄弟姉妹	
DQ08B_5	125	w5問8B-5_仕事を紹介してもらうことを相談する人―その他の親戚	
DQ08B_6	126	w5問8B-6_仕事を紹介してもらうことを相談する人―仕事関係の友人・知人	
DQ08B_7	127	w5問8B-7_仕事を紹介してもらうことを相談する人―学生時代の友人・知人	
DQ08B_8	128	w5問8B-8_仕事を紹介してもらうことを相談する人―その他の友人・知人	
DQ08B_9	129	w5問8B-9_仕事を紹介してもらうことを相談する人―誰もいない	
DQ08C_1	130	w5問8C-1_友人・恋人・配偶者などとの人間関係のことを相談する人―親	
DQ08C_2	131	w5問8C-2_友人・恋人・配偶者などとの人間関係のことを相談する人―配偶者または恋人	
DQ08C_3	132	w5問8C-3_友人・恋人・配偶者などとの人間関係のことを相談する人―子ども	
DQ08C_4	133	w5問8C-4_友人・恋人・配偶者などとの人間関係のことを相談する人―兄弟姉妹	
DQ08C_5	134	w5問8C-5_友人・恋人・配偶者などとの人間関係のことを相談する人―その他の親戚	
DQ08C_6	135	w5問8C-6_友人・恋人・配偶者などとの人間関係のことを相談する人―仕事関係の友人・知人	
DQ08C_7	136	w5問8C-7_友人・恋人・配偶者などとの人間関係のことを相談する人―学生時代の友人・知人	
DQ08C_8	137	w5問8C-8_友人・恋人・配偶者などとの人間関係のことを相談する人―その他の友人・知人	
DQ08C_9	138	w5問8C-9_友人・恋人・配偶者などとの人間関係のことを相談する人―誰もいない	
DQ08D_1	139	w5問8D-1_失業や病気のときにまとまったお金を貸してもらう相談をする人―親	
DQ08D_2	140	w5問8D-2_失業や病気のときにまとまったお金を貸してもらう相談をする人―配偶者または恋人	
DQ08D_3	141	w5問8D-3_失業や病気のときにまとまったお金を貸してもらう相談をする人―子ども	
DQ08D_4	142	w5問8D-4_失業や病気のときにまとまったお金を貸してもらう相談をする人―兄弟姉妹	
DQ08D_5	143	w5問8D-5_失業や病気のときにまとまったお金を貸してもらう相談をする人―その他の親戚	
DQ08D_6	144	w5問8D-6_失業や病気のときにまとまったお金を貸してもらう相談をする人―仕事関係の友人・知人	
DQ08D_7	145	w5問8D-7_失業や病気のときにまとまったお金を貸してもらう相談をする人―学生時代の友人・知人	
DQ08D_8	146	w5問8D-8_失業や病気のときにまとまったお金を貸してもらう相談をする人―その他の友人・知人	
DQ08D_9	147	w5問8D-9_失業や病気のときにまとまったお金を貸してもらう相談をする人―誰もいない	
DQ09_A	148	w5問9-1_この1年間の経験―自分が離婚した	
DQ09_B	149	w5問9-2_この1年間の経験―配偶者が亡くなった	
DQ09_C	150	w5問9-3_この1年間の経験―父が亡くなった	
DQ09_D	151	w5問9-4_この1年間の経験―母が亡くなった	
DQ09_E	152	w5問9-5_この1年間の経験―配偶者の父が亡くなった	
DQ09_F	153	w5問9-6_この1年間の経験―配偶者の母が亡くなった	
DQ09_G	154	w5問9-7_この1年間の経験―同棲した	
DQ09_H	155	w5問9-8_この1年間の経験―引越しした	
DQ09_I	156	w5問9-9_この1年間の経験―自分が産休・育休を取った	
DQ09_J	157	w5問9-10_この1年間の経験―配偶者が産休・育休を取った	
DQ09_K	158	w5問9-11_この1年間の経験―どれもなかった	
DQ10_1	159	w5問10(1)_同居している人数（本人含む）	
DQ10_21A	160	w5問10(2)-1_あなたご自身_世帯主か否か	
DQ10_22A	161	w5問10(2)-2_同居家族1人目_世帯主化否か	
dq10_22z	162	w5_同居家族1人目_続柄	
DQ10_22B	163	w5_同居家族1人目_性別	
DQ10_22C	164	w5_同居家族1人目_年齢	
DQ10_22D	165	w5問10(2)-2_同居家族1人目_在学中	
DQ10_22E	166	w5問10(2)-2_同居家族1人目_仕事の有無	
DQ10_23A	167	w5問10(2)-3_同居家族2人目_世帯主か否か	
dq10_23z	168	w5_同居家族2人目_続柄	
DQ10_23B	169	w5_同居家族2人目_性別	
DQ10_23C	170	w5_同居家族2人目_年齢	
DQ10_23D	171	w5問10(2)-3_同居家族2人目_在学中	
DQ10_23E	172	w5問10(2)-3_同居家族2人目_仕事の有無	
DQ10_24A	173	w5問10(2)-4_同居家族3人目_世帯主か否か	
dq10_24z	174	w5_同居家族3人目_続柄	
DQ10_24B	175	w5_同居家族3人目_性別	
DQ10_24C	176	w5_同居家族3人目_年齢	
DQ10_24D	177	w5問10(2)-4_同居家族3人目_在学中	
DQ10_24E	178	w5問10(2)-4_同居家族3人目_仕事の有無	
DQ10_25A	179	w5問10(2)-5_同居家族4人目_世帯主か否か	
dq10_25z	180	w5_同居家族4人目_続柄	
DQ10_25B	181	w5_同居家族4人目_性別	
DQ10_25C	182	w5_同居家族4人目_年齢	
DQ10_25D	183	w5問10(2)-5_同居家族4人目_在学中	
DQ10_25E	184	w5問10(2)-5_同居家族4人目_仕事の有無	
DQ10_26A	185	w5問10(2)-6_同居家族5人目_世帯主か否か	
dq10_26z	186	w5_同居家族5人目_続柄	
DQ10_26B	187	w5_同居家族5人目_性別	
DQ10_26C	188	w5_同居家族5人目_年齢	
DQ10_26D	189	w5問10(2)-6_同居家族5人目_在学中	
DQ10_26E	190	w5問10(2)-6_同居家族5人目_仕事の有無	
DQ10_27A	191	w5問10(2)-7_同居家族6人目_世帯主か否か	
dq10_27z	192	w5_同居家族6人目_続柄	
DQ10_27B	193	w5_同居家族6人目_性別	
DQ10_27C	194	w5_同居家族6人目_年齢	
DQ10_27D	195	w5問10(2)-7_同居家族6人目_在学中	
DQ10_27E	196	w5問10(2)-7_同居家族6人目_仕事の有無	
DQ10_28A	197	w5問10(2)-8_同居家族7人目_世帯主か否か	
dq10_28z	198	w5_同居家族7人目_続柄	
DQ10_28B	199	w5_同居家族7人目_性別	
DQ10_28C	200	w5_同居家族7人目_年齢	
DQ10_28D	201	w5問10(2)-8_同居家族7人目_在学中	
DQ10_28E	202	w5問10(2)-8_同居家族7人目_仕事の有無	
DQ10_29A	203	w5問10(2)-9_同居家族8人目_世帯主か否か	
dq10_29z	204	w5_同居家族8人目_続柄	
DQ10_29B	205	w5_同居家族8人目_性別	
DQ10_29C	206	w5_同居家族8人目_年齢	
DQ10_29D	207	w5問10(2)-9_同居家族8人目_在学中	
DQ10_29E	208	w5問10(2)-9_同居家族8人目_仕事の有無	
DQ10_210A	209	w5問10(2)-10_同居家族9人目_世帯主か否か	
dq10_210z	210	w5_同居家族9人目_続柄	
DQ10_210B	211	w5_同居家族9人目_性別	
DQ10_210C	212	w5_同居家族9人目_年齢	
DQ10_210D	213	w5問10(2)-10_同居家族9人目_在学中	
DQ10_210E	214	w5問10(2)-10_同居家族9人目_仕事の有無	
DQ10_3	215	w5問10(3)_もう1人子どもが欲しいか	
DQ11	216	w5問11_自分の健康状態	
DQ12A	217	w5問12A_過去1ヶ月間―かなり神経質であったこと	
DQ12B	218	w5問12B_過去1ヶ月間―どうにもならないくらい気分が落ち込んでいたこと	
DQ12C	219	w5問12C_過去1ヶ月間―落ち着いていておだやかな気分であったこと	
DQ12D	220	w5問12D_過去1ヶ月間―落ち込んで、憂鬱な気分であったこと	
DQ12E	221	w5問12E_過去1ヶ月間―楽しい気分であったこと	
DQ12F	222	w5問12F_過去1ヶ月間―健康上の理由で、家事や仕事などが制限されたこと	
DQ13	223	w5問13_過去1年間、病気や怪我により活動ができなかった日の有無	
DQ13S	224	w5問13_過去1年間、病気や怪我により活動ができなかった日数	
DQ14A	225	w5問14_過去1年間の歯科通院日数	
DQ14B	226	w5問14_過去1年間の通院（歯科除く）日数	
DQ14C	227	w5問14_過去1年間の入院日数	
DQ15	228	w5問15_1日に吸うタバコの本数	
DQ16	229	w5問16_飲酒の頻度	
DQ17A	230	w5問17A_中学３年生の頃、両親の喫煙行動ー父親	
DQ17B	231	w5問17B_中学３年生の頃、両親の喫煙行動ー母親	
DQ18A	232	w5問18A_現在の満足度―仕事	
DQ18B	233	w5問18B_現在の満足度―結婚生活	
DQ18C	234	w5問18C_現在の満足度―友人関係	
DQ18D	235	w5問18D_現在の満足度―あなたの親との関係	
DQ18E	236	w5問18E_現在の満足度―あなたの子との関係	
DQ18F	237	w5問18F_現在の満足度―生活全般	
DQ19A	238	w5問19A_日常生じる困難や問題の解決策を見つけることができる	
DQ19B	239	w5問19B_人生で生じる困難や問題のいくつかは向き合い、取り組む価値があると思う	
DQ19C	240	w5問19C_日常生じる困難や問題を理解したり予測したりできる	
DQ20A	241	w5問20A_自分のやりたい仕事ははっきりしている	
DQ20B	242	w5問20B_自分の職業能力を向上させたいと思う	
DQ20C	243	w5問20C_将来よりも今の生活を楽しみたいと思う	
DQ20D	244	w5問20D_社会でうまくやっていけるか不安だ	
DQ20E	245	w5問20E_友だちから悩み事を打ち明けられることが多い	
DQ20F	246	w5問20F_やりたくない仕事にはつきたくない	
DQ21	247	w5問21_現在の暮らしむき	
DQ22	248	w5問22_将来の自分の仕事や生活に希望があるか	
DQ23A	249	w5問23A_自分にとっての重要度―仕事で成功すること	
DQ23B	250	w5問23B_自分にとっての重要度―結婚して幸せな家庭生活を送ること	
DQ23C	251	w5問23C_自分にとっての重要度―お金持ちになること	
DQ23D	252	w5問23D_自分にとっての重要度―親友を持つこと	
DQ23E	253	w5問23E_自分にとっての重要度―子どもには自分よりも恵まれた機会を与えること	
DQ23F	254	w5問23F_自分にとっての重要度―安定した仕事につくこと	
DQ24A	255	w5問24A_自分の考えを人に説明することができるか	
DQ24B	256	w5問24B_よく知らない人と自然に会話することができるか	
DQ24C	257	w5問24C_まわりの人をまとめてひっぱっていくことができるか	
DQ24D	258	w5問24D_面白いことを言って人を楽しませることができるか	
DQ25A	259	w5問25A_日本の社会には希望がある	
DQ25B	260	w5問25B_日本の所得の格差は大きすぎる	
DQ25C	261	w5問25C_どんな学校を出たかによって、人生がほとんど決まってしまう	
DQ25D	262	w5問25D_仕事や事業でいったん失敗すると、人生のやり直しがしにくい	
DQ25E	263	w5問25E_所得格差が大きいことは、日本の繁栄に必要である	
DQ25F	264	w5問25F_地位や富を得るためには、裕福な家庭の出身であることが重要だ	
DQ26	265	w5問26_自分自身の階層の位置づけ	
DQ27	266	w5問27_10年後の自分の暮らしむき	
DQ28A	267	w5問28A_男性の仕事は収入を得ること、女性の仕事や家庭と家族の面倒をみることだ	
DQ28B	268	w5問28B_母親が外で働くと、小学校に通う前の子どもはつらい思いをしやすい	
DQ28C	269	w5問28C_女性が自立するためには、仕事を持つのが一番よい	
DQ28D	270	w5問28D_一般的に言って、結婚している人のほうが、結婚していない人より幸せだ	
DQ28E	271	w5問28E_子どもがいると、夫婦の自由な生活の妨げになる	
DQ28F	272	w5問28F_不幸せな結婚生活を続けるくらいなら、離婚した方がよい	
DQ29A	273	w5問29A_日本の防衛力はもっと強化するべきだ	
DQ29B	274	w5問29B_日米安保体制は現在よりもっと強化するべきだ	
DQ29C	275	w5問29C_収入の多い人と少ない人の所得格差を縮めるのは政府の責任だ	
DQ29D	276	w5問29D_公共事業による地方の雇用確保は必要だ	
DQ29E	277	w5問29E_社会保障は財政が苦しくても極力充実するべきだ	
DQ29F	278	w5問29F_お年寄りや心身の不自由な人は別として、すべての人は社会福祉をあてにしないで生活しなければならない	
DQ30	279	w5問30_ふだん支持している政党	
DQ31	280	w5問31_政治上の出来事への関心	
DQ32	281	w5問32_参議院比例代表投票先政党(２０１０年）	
DQ33_1	282	w5問33(1)_衆議院比例代表投票先政党(仮定投票）	
DQ33_2	283	w5問33(2)_上記の選挙で投票に行くか	
DQ34A	284	w5問34A_自民党への感情	
DQ34B	285	w5問34B_民主党への感情	
DQ34C	286	w5問34C_公明党への感情	
DQ34D	287	w5問34D_共産党への感情	
DQ34E	288	w5問34E_社民党への感情	
DQ34F	289	w5問34F_日本への感情	
DQ34G	290	w5問34G_アメリカ合衆国への感情	
DQ34H	291	w5問34H_中国への感情	
DQ35A	292	w5問35_過去1年間の収入―本人	
DQ35B	293	w5問35_過去1年間の収入―配偶者	
DQ35C	294	w5問35_過去1年間の収入―世帯全体	
DQ36_A	295	w5問36-1_世帯の収入源―賃金・給料	
DQ36_B	296	w5問36-2_世帯の収入源―農林漁業からの事業収入	
DQ36_C	297	w5問36-3_世帯の収入源―農林漁業以外の事業収入	
DQ36_D	298	w5問36-4_世帯の収入源―内職収入	
DQ36_E	299	w5問36-5_世帯の収入源―家賃・地代	
DQ36_F	300	w5問36-6_世帯の収入源―利子・配当	
DQ36_G	301	w5問36-7_世帯の収入源―仕送り	
DQ36_H	302	w5問36-8_世帯の収入源―年金（除く障害年金）・恩給	
DQ36_I	303	w5問36-9_世帯の収入源―障害年金	
DQ36_J	304	w5問36-10_世帯の収入源―雇用保険（失業等給付）	
DQ36_K	305	w5問36-11_世帯の収入源―生活保護	
DQ36_L	306	w5問36-12_世帯の収入源―児童扶養手当	
DQ36_M	307	w5問36-13_世帯の収入源―その他	
DQ37	308	w5問37_世帯で所有している資産の総額	
DQ38	309	w5問38_住居費・ローンを自分で支払っているか	
DQ38S	310	w5問38_住居費・ローンの月当たり支払額（千円）	
DQ39	311	w5問39_現在の住居の形態	
DQ39_A	312	w5問39付問-1_持家の所有者―本人	
DQ39_B	313	w5問39付問-2_持家の所有者―配偶者	
DQ39_C	314	w5問39付問-3_持家の所有者―父または母	
DQ39_D	315	w5問39付問-4_持家の所有者―配偶者の父または母	
DQ39_E	316	w5問39付問-5_持家の所有者―その他	
DQ40	317	w5問40_今後1年間の引越し予定有無	
DQ41	318	w5問41_資産の相続・贈与の有無	
DQ41S	319	w5問41付問_相続・贈与された財産の合計金額	
DQ42_A	320	w5問42-1_企業の健康保険組合	
DQ42_B	321	w5問42-2_協会けんぽ	
DQ42_C	322	w5問42-3_共済組合	
DQ42_D	323	w5問42-4_国民健康保険	
DQ42_E	324	w5問42-5_その他	
DQ42_F	325	w5問42-6_いずれも加入していない	
DQ42_G	326	w5問42-7_わからない	
DQ42_AS	327	w5問42付問-1_自分で、もしくは自分の職場を通じて	
DQ42_BS	328	w5問42付問-2_配偶者の職場を通じて	
DQ42_CS	329	w5問42付問-3_親の職場を通じて	
DQ42_DS	330	w5問42付問-4_その他	
DQ43	331	w5問43_婚姻状態	
DQ44_1	332	w5問44(1)_配偶者職・働き方	
DQ44_2	333	w5問44(2)_配偶者職・職業―大分類(プリコード)	
dq44_2c	334	w5問44(2)_配偶者職・職業―小分類（07版）	
dq44_2l	335	w5問44(2)_配偶者職・職業―大分類（アフターコード）	
DQ44_3	336	w5問44(3)_配偶者職・役職	
DQ44_4A	337	w5問44(4)A_配偶者職・従事時間（1日あたり）	
DQ44_4M	338	w5問44(4)B_配偶者職・従事日数（月あたり）	
DQ44_4X	339	w5問44(4)C-1_配偶者職・家に帰ってくる時間	
DQ44_4Y	340	w5問44(4)C-2_配偶者職・家に帰ってくる時間―時	
DQ44_4Z	341	w5問44(4)C-3_配偶者職・家に帰ってくる時間―分	
DQ44_5	342	w5問44(5)_配偶者職・企業規模	
DQ45A	343	w5問45A_頻度―配偶者が食事の用意	
DQ45B	344	w5問45B_頻度―配偶者が洗濯	
DQ45C	345	w5問45C_頻度―配偶者が家の掃除	
DQ45D	346	w5問45D_頻度―配偶者が日用品・食料品の買い物	
DQ45E	347	w5問45E_頻度―夫婦で一緒に食事をする	
DQ45F	348	w5問45F_頻度―夫婦で話をする	
DQ46	349	w5問46_婚前同棲期間の有無	
DQ46Y	350	w5問46_婚前同棲期間（年）	
DQ46M	351	w5問46_婚前同棲期間（月）	
DQ47	352	w5問47_婚姻届出の有無	
DQ48_1A	353	w5問48(1)_配偶者の生まれ―元号	
DQ48_1Y	354	w5問48(1)_配偶者の生まれ―年	
DQ48_1M	355	w5問48(1)_配偶者の生まれ―月	
DQ48_2	356	w5問48(2)_配偶者の最後に通ったまたは通学中の学校	
DQ49_1AA	357	w5問49(1)_配偶者との交際開始時―元号	
DQ49_1AY	358	w5問49(1)_配偶者との交際開始時―年	
DQ49_1AM	359	w5問49(1)_配偶者との交際開始時―月	
DQ49_1BA	360	w5問49(1)_結婚時―元号	
DQ49_1BY	361	w5問49(1)_結婚時―年	
DQ49_1BM	362	w5問49(1)_結婚時―月	
DQ49_2A	363	w5問49(2)-1_配偶者と知り合ったきっかけ―親・きょうだいの紹介で	
DQ49_2B	364	w5問49(2)-2_配偶者と知り合ったきっかけ―親・きょうだい以外の親族の紹介で	
DQ49_2C	365	w5問49(2)-3_配偶者と知り合ったきっかけ―友人・知人・幼なじみの紹介で	
DQ49_2D	366	w5問49(2)-4_配偶者と知り合ったきっかけ―職場の同僚・上司の紹介で	
DQ49_2E	367	w5問49(2)-5_配偶者と知り合ったきっかけ―職場で	
DQ49_2F	368	w5問49(2)-6_配偶者と知り合ったきっかけ―学校での授業・部活・サークル活動で	
DQ49_2G	369	w5問49(2)-7_配偶者と知り合ったきっかけ―アルバイト先で	
DQ49_2H	370	w5問49(2)-8_配偶者と知り合ったきっかけ―趣味・習い事で	
DQ49_2I	371	w5問49(2)-9_配偶者と知り合ったきっかけ―合コンで	
DQ49_2J	372	w5問49(2)-10_配偶者と知り合ったきっかけ―お見合いで	
DQ49_2K	373	w5問49(2)-11_配偶者と知り合ったきっかけ―お見合いパーティーで	
DQ49_2L	374	w5問49(2)-12_配偶者と知り合ったきっかけ―インターネット・携帯を通して	
DQ49_2M	375	w5問49(2)-13_配偶者と知り合ったきっかけ―街中や旅先で	
DQ49_2N	376	w5問49(2)-14_配偶者と知り合ったきっかけ―結婚相談所や結婚仲介サービスで	
DQ49_2O	377	w5問49(2)-15_配偶者と知り合ったきっかけ―その他	
DQ49_2P	378	w5問49(2)-RC_配偶者と知り合ったきっかけ―その他（地域のサークル等）	
DQ49_2R	379	w5問49(2)-RC_配偶者と知り合ったきっかけ―その他（幼なじみ）	
DQ49_2S	380	w5問49(2)-RC_配偶者と知り合ったきっかけ―その他（仕事関係）	
DQ49_2T	381	w5問49(2)-RC_配偶者と知り合ったきっかけ―その他（宗教関係）	
DQ49_2V	382	w5問49(2)-RC_配偶者と知り合ったきっかけ―その他（結婚式で）	
DQ49_2W	383	w5問49(2)-RC_配偶者と知り合ったきっかけ―その他（イベントで）	
DQ49_2Z	384	w5問49(2)-RC_配偶者と知り合ったきっかけ―その他（偶然の出会い）	
DQ50	385	w5問50_結婚についてどのように考えているか	
DQ51A	386	w5問51A_結婚相手について重視する点―性格・人柄	
DQ51B	387	w5問51B_結婚相手について重視する点―容姿・外見	
DQ51C	388	w5問51C_結婚相手について重視する点―学歴	
DQ51D	389	w5問51D_結婚相手について重視する点―年収	
DQ51E	390	w5問51E_結婚相手について重視する点―年齢	
DQ51DA	391	w5問51D_結婚相手の年収下限	
DQ51DB	392	w5問51D_結婚相手の年収上限	
DQ51EA	393	w5問51E_結婚相手の年齢下限	
DQ51EB	394	w5問51E_結婚相手の年齢上限	
DQ52_1	395	w5問52(1)_よく話をする異性の数	
DQ52_2	396	w5問52(2)_交際してみたい異性と出会うきっかけ	
DQ52_3A	397	w5問52(3)-1_この1年間に交際してみたい異性と出会うためにやったこと―親・きょうだいに紹介を依頼	
DQ52_3B	398	w5問52(3)-2_この1年間に交際してみたい異性と出会うためにやったこと―親・きょうだい以外の親族に紹介を依頼	
DQ52_3C	399	w5問52(3)-3_この1年間に交際してみたい異性と出会うためにやったこと―友人・知人・幼なじみに紹介を依頼	
